,id,id_download_nonleak,sentinel_img_date_nonleak,landsat_img_date_nonleak,date_diff_img_nonleak,date_diff_leak_nonleak,sentinel_cloud_nonleak,landsat_cloud_nonleak,rmse_nonleak
330,26038.0,26038.0,2020-10-09,2020-10-12,3 days,15 days,0.156927,0.2,268.45591089417184
331,25938.0,25938.0,2020-10-09,2020-10-12,3 days,13 days,0.156927,0.2,183.47246981292807
332,25955.0,25955.0,2020-10-09,2020-10-12,3 days,14 days,0.156927,0.2,374.46886480795223
333,26175.0,26175.0,2020-10-09,2020-10-12,3 days,14 days,0.156927,0.2,289.1658889013531
334,25911.0,25911.0,2020-10-09,2020-10-12,3 days,11 days,0.156927,0.2,208.4674382074562
335,26215.0,26215.0,2020-10-09,2020-10-12,3 days,11 days,0.156927,0.2,221.1091367210538
336,25989.0,25989.0,2020-10-09,2020-10-12,3 days,10 days,0.156927,0.2,174.7601115253138
337,26126.0,26126.0,2020-10-24,2020-10-28,4 days,19 days,0.095282,0.41,498.65999287584793
338,26113.0,26113.0,2020-10-09,2020-10-12,3 days,9 days,0.156927,0.2,227.60126565321377
339,24732.0,24732.0,2020-10-09,2020-10-12,3 days,10 days,0.156927,0.2,327.7369855997651
340,25569.0,25569.0,2020-10-09,2020-10-12,3 days,10 days,0.156927,0.2,310.93666280431
341,24759.0,24759.0,2020-10-09,2020-10-12,3 days,9 days,0.156927,0.2,215.16056972863777
342,26185.0,26185.0,2020-10-09,2020-10-12,3 days,9 days,0.156927,0.2,232.81416903200338
343,26232.0,26232.0,2020-10-09,2020-10-12,3 days,9 days,0.156927,0.2,277.34287828697853
344,24466.0,24466.0,2020-10-09,2020-10-12,3 days,9 days,0.156927,0.2,316.8302977295113
345,26256.0,26256.0,2020-10-09,2020-10-12,3 days,8 days,0.156927,0.2,170.48828192847992
346,26176.0,26176.0,2020-10-09,2020-10-12,3 days,8 days,0.156927,0.2,229.70733087539645
347,26238.0,26238.0,2020-10-09,2020-10-12,3 days,8 days,0.156927,0.2,302.3181438188176
348,25924.0,25924.0,2020-10-09,2020-10-12,3 days,8 days,0.156927,0.2,220.7827798421408
349,26076.0,26076.0,2020-10-09,2020-10-12,3 days,8 days,0.156927,0.2,193.4612288683443
350,26112.0,26112.0,2020-10-09,2020-10-12,3 days,7 days,0.156927,0.2,189.85372091602963
351,26081.0,26081.0,2020-10-24,2020-10-28,4 days,21 days,0.095282,0.41,323.7964684489724
352,26079.0,26079.0,2020-10-24,2020-10-28,4 days,21 days,0.095282,0.41,279.2926942420645
353,26205.0,26205.0,2020-10-09,2020-10-12,3 days,7 days,0.156927,0.2,199.1267765992062
354,25570.0,25570.0,2020-10-09,2020-10-12,3 days,7 days,0.156927,0.2,250.15983175609395
355,25897.0,25897.0,2020-10-09,2020-10-12,3 days,7 days,0.156927,0.2,240.070684664805
356,26162.0,26162.0,2020-10-24,2020-10-28,4 days,21 days,0.095282,0.41,306.1301261186255
357,26214.0,26214.0,2020-10-24,2020-10-28,4 days,19 days,0.095282,0.41,227.85375428887932
358,26099.0,26099.0,2020-10-24,2020-10-28,4 days,18 days,0.095282,0.41,251.24767296826133
359,26481.0,26481.0,2020-10-24,2020-10-28,4 days,18 days,0.095282,0.41,261.0102554918821
360,26055.0,26055.0,2020-10-24,2020-10-28,4 days,18 days,0.095282,0.41,204.44901691688074
361,26107.0,26107.0,2020-10-24,2020-10-28,4 days,18 days,0.095282,0.41,204.48711847915519
362,26262.0,26262.0,2020-10-24,2020-10-28,4 days,17 days,0.095282,0.41,159.6433430435343
363,26565.0,26565.0,2020-10-24,2020-10-28,4 days,16 days,0.095282,0.41,278.67993846129383
364,26360.0,26360.0,2020-10-24,2020-10-28,4 days,17 days,0.095282,0.41,315.8948238867283
365,26127.0,26127.0,2020-10-24,2020-10-28,4 days,17 days,0.095282,0.41,223.91990504388988
366,26054.0,26054.0,2020-10-24,2020-10-28,4 days,16 days,0.095282,0.41,375.7542498723625
367,26465.0,26465.0,2020-10-24,2020-10-28,4 days,15 days,0.095282,0.41,241.405371308224
368,26405.0,26405.0,2020-10-24,2020-10-28,4 days,15 days,0.095282,0.41,285.2606295523761
369,26624.0,26624.0,2020-10-24,2020-10-28,4 days,14 days,0.095282,0.41,218.12404097591966
370,26352.0,26352.0,2020-10-24,2020-10-28,4 days,15 days,0.095282,0.41,397.18828816308815
371,26594.0,26594.0,2020-10-24,2020-10-28,4 days,15 days,0.095282,0.41,210.71299512414896
372,26422.0,26422.0,2020-11-15,2020-11-20,5 days,23 days,0.174354,0.04,231.15950671164836
373,26560.0,26560.0,2020-10-24,2020-10-28,4 days,12 days,0.095282,0.41,240.99888332028118
374,26480.0,26480.0,2020-10-24,2020-10-28,4 days,11 days,0.095282,0.41,259.7393426945291
375,26449.0,26449.0,2020-10-24,2020-10-28,4 days,11 days,0.095282,0.41,284.33541432764275
376,26525.0,26525.0,2020-10-24,2020-10-28,4 days,10 days,0.095282,0.41,278.5372126756976
377,26263.0,26263.0,2020-10-24,2020-10-28,4 days,9 days,0.095282,0.41,148.24618818647218
378,26383.0,26383.0,2020-10-24,2020-10-28,4 days,10 days,0.095282,0.41,250.3174896472923
379,26328.0,26328.0,2020-10-24,2020-10-28,4 days,10 days,0.095282,0.41,446.5195535327994
380,26531.0,26531.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,178.31781397307992
381,26526.0,26526.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,238.64414809030592
382,26528.0,26528.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,207.04522804451526
383,26342.0,26342.0,2020-10-24,2020-10-28,4 days,9 days,0.095282,0.41,360.46060608791464
384,26393.0,26393.0,2020-10-24,2020-10-28,4 days,9 days,0.095282,0.41,520.224035971637
385,26392.0,26392.0,2020-10-24,2020-10-28,4 days,9 days,0.095282,0.41,316.62428235262854
386,25982.0,25982.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,341.0677506651872
387,26607.0,26607.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,197.79496742846354
388,26365.0,26365.0,2020-11-15,2020-11-20,5 days,29 days,0.174354,0.04,171.90508551632132
389,26445.0,26445.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,194.65214213726787
390,26527.0,26527.0,2020-10-24,2020-10-28,4 days,8 days,0.095282,0.41,190.26553214396748
391,26376.0,26376.0,2020-11-15,2020-11-20,5 days,29 days,0.174354,0.04,307.67499083531254
392,26790.0,26790.0,2020-11-15,2020-11-20,5 days,26 days,0.174354,0.04,164.2092779532968
393,26601.0,26601.0,2020-11-15,2020-11-20,5 days,26 days,0.174354,0.04,341.9414734990547
394,26793.0,26793.0,2020-11-15,2020-11-20,5 days,25 days,0.174354,0.04,344.9171196083086
395,26419.0,26419.0,2020-11-15,2020-11-20,5 days,26 days,0.174354,0.04,256.2579744553488
396,26669.0,26669.0,2020-11-15,2020-11-20,5 days,25 days,0.174354,0.04,422.1231683759538
397,26675.0,26675.0,2020-11-15,2020-11-20,5 days,25 days,0.174354,0.04,278.7784505221948
398,26867.0,26867.0,2020-11-15,2020-11-20,5 days,26 days,0.174354,0.04,350.3226346828686
399,26753.0,26753.0,2020-11-15,2020-11-20,5 days,26 days,0.174354,0.04,273.9643638471936
