Id,FECHA DE CREACIÓN,FECHA DE INICIO,FECHA FINAL,CODUNIDAD,FECHALEGALIZACION,NOMBREESTADO,NOMBRETRABAJO,CAUSAL,X,Y
1390,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784348.9242,2419178.688
1391,27/12/2022,19/12/2022,19/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",778606.7446,2424454.942
1392,27/12/2022,19/12/2022,19/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783558.9989,2420330.926
1393,27/12/2022,19/12/2022,19/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",783554.5875,2420329.676
1394,27/12/2022,19/12/2022,19/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",783550.1648,2420328.416
1395,27/12/2022,19/12/2022,19/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",785417.5102,2425662.789
1396,31/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782711.9603,2428910.57
1397,31/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782719.6095,2428891.045
1398,29/12/2022,30/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778398.6947,2421663.621
1399,27/12/2022,20/12/2022,20/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",785318.1337,2425682.744
1400,27/12/2022,27/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,785338.0694,2425713.763
1401,26/12/2022,27/12/2022,27/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778148.9364,2424281.3
1402,27/12/2022,24/12/2022,24/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784085.8513,2423171.749
1403,27/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",779181.6049,2418314.705
1404,27/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",779185.3892,2418316.183
1405,27/12/2022,24/12/2022,24/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784269.9134,2424523.235
1406,27/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784224.5853,2424542.072
1407,27/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784221.921,2424547.494
1408,26/12/2022,21/12/2022,23/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"CANCELADA, SE GENERA FTC",784138.9951,2422201.309
1409,26/12/2022,23/12/2022,23/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",775585.0269,2426617.679
1410,26/12/2022,23/12/2022,23/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",775608.2176,2426648.364
1411,29/12/2022,29/12/2022,29/12/2022,757,29/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782560.81,2415308.25
1412,27/12/2022,20/12/2022,20/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",785380.0629,2425695.843
1421,31/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782460.236,2416289.844
1424,27/12/2022,30/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783947.3357,2418416.43
1425,29/12/2022,29/12/2022,29/12/2022,757,29/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"CANCELADA, SE GENERA FTC",785537.0384,2422378.103
1427,28/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",783626.5376,2424167.19
1428,28/12/2022,30/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783632.4334,2424168.312
1429,28/12/2022,26/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",777068.0385,2418973.706
1430,28/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",777141.9189,2419181.416
1434,28/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",767615.2062,2404148.156
1435,28/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",767617.6909,2404184.504
1436,28/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778696.5711,2418783.082
1437,28/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",776880.0254,2424009.194
1440,26/12/2022,23/12/2022,24/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,782749.5884,2414440.061
1441,26/12/2022,22/12/2022,22/12/2022,757,26/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",781944.3518,2418915.969
1442,26/12/2022,29/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,782888.877,2427652.167
1443,26/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",782455.0457,2416286.823
1444,31/12/2022,27/12/2022,27/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783917.585,2419228.133
1445,24/12/2022,29/12/2022,29/12/2022,757,29/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,779054.8133,2421845.736
1446,24/12/2022,29/12/2022,29/12/2022,757,29/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783740.3599,2422076.952
1447,24/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",783345.109,2427988.283
1448,24/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",779568.4223,2418342.498
1449,26/12/2022,23/12/2022,23/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",785204.841,2420815.6
1450,27/12/2022,30/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783303.2255,2418588.992
1451,30/12/2022,26/12/2022,26/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784978.2899,2426009.384
1453,29/12/2022,30/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783104.0668,2418090.237
1454,31/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",784326.515,2424096.655
1455,27/12/2022,25/12/2022,25/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",782193.3654,2423654.466
1458,26/12/2022,27/12/2022,27/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,784259.1345,2424369.497
1464,28/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783481.4154,2427911.521
1465,26/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",781411.6245,2419475.386
1468,26/12/2022,22/12/2022,22/12/2022,757,26/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784617.7326,2421442.123
1470,25/11/2022,12/12/2022,13/12/2022,757,13/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,781103.5805,2427647.057
1471,11/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,780182.5095,2422225.395
1472,10/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778790.9663,2420267.051
1473,28/11/2022,12/12/2022,13/12/2022,757,13/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,784310.3059,2419201.066
1474,11/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,780093.1982,2425136.157
1475,11/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,780077.5586,2425054.203
